run_tag,threshold,accuracy,precision,recall_sensitivity,specificity,false_positive_rate,false_negative_rate,f1,tn,fp,fn,tp,roc_auc,pr_auc,brier,log_loss,n,prevalence,split,model,prob_col,threshold_type,target_recall,threshold_source,threshold_constraint_met_on_source
main,0.3331824721040701,0.690677966101695,0.484375,0.8985507246376812,0.6047904191254616,0.39520958081465807,0.10144927534761605,0.6294416243654822,101,66,7,62,0.8674824264514449,0.7695032996825185,0.1485495170849871,0.4675300700388027,236,0.2923728813559322,test_image,fusion_stack,prob_fusion_stack,min_fpr_recall_0.85,0.85,threshold_split,True
main,0.26527848753206257,0.652542372881356,0.45454545454545453,0.9420289855072463,0.5329341317046147,0.467065868235505,0.05797101448435203,0.6132075471698113,89,78,4,65,0.8674824264514449,0.7695032996825185,0.1485495170849871,0.4675300700388027,236,0.2923728813559322,test_image,fusion_stack,prob_fusion_stack,min_fpr_recall_0.90,0.9,threshold_split,True
main,0.341127872467041,0.7792207792207793,0.5909090909090909,0.7761194029850746,0.780487804830458,0.21951219510856632,0.2238805969815104,0.6709677419354839,128,36,15,52,0.8565708045140155,0.744365157363117,0.13652577274210537,0.4346584608837067,231,0.29004329004329005,test_uid,image_raw,prob_image_raw,min_fpr_recall_0.80,0.8,threshold_split,True
main,0.18115149438381195,0.696969696969697,0.488,0.9104477611940298,0.6097560975237953,0.390243902415229,0.08955223879260416,0.6354166666666666,100,64,6,61,0.8565708045140155,0.744365157363117,0.13652577274210537,0.4346584608837067,231,0.29004329004329005,test_uid,image_raw,prob_image_raw,min_fpr_recall_0.85,0.85,threshold_split,True
main,0.13049283623695374,0.6320346320346321,0.43661971830985913,0.9253731343283582,0.5121951219199881,0.48780487801903627,0.07462686566050346,0.5933014354066986,84,80,5,62,0.8565708045140155,0.744365157363117,0.13652577274210537,0.4346584608837067,231,0.29004329004329005,test_uid,image_raw,prob_image_raw,min_fpr_recall_0.90,0.9,threshold_split,True
main,0.2536766067020463,0.7792207792207793,0.5909090909090909,0.7761194029850746,0.780487804830458,0.21951219510856632,0.2238805969815104,0.6709677419354839,128,36,15,52,0.8565708045140155,0.744365157363117,0.13231308177457107,0.4167006268565678,231,0.29004329004329005,test_uid,image_calibrated,prob_image_cal,min_fpr_recall_0.80,0.8,threshold_split,True
main,0.15056809369402605,0.696969696969697,0.488,0.9104477611940298,0.6097560975237953,0.390243902415229,0.08955223879260416,0.6354166666666666,100,64,6,61,0.8565708045140155,0.744365157363117,0.13231308177457107,0.4167006268565678,231,0.29004329004329005,test_uid,image_calibrated,prob_image_cal,min_fpr_recall_0.85,0.85,threshold_split,True
main,0.11636940687464382,0.6320346320346321,0.43661971830985913,0.9253731343283582,0.5121951219199881,0.48780487801903627,0.07462686566050346,0.5933014354066986,84,80,5,62,0.8565708045140155,0.744365157363117,0.13231308177457107,0.4167006268565678,231,0.29004329004329005,test_uid,image_calibrated,prob_image_cal,min_fpr_recall_0.90,0.9,threshold_split,True
main,0.22544909821311102,0.42424242424242425,0.31666666666666665,0.8507462686567164,0.24999999998475608,0.7499999999542682,0.14925373132100692,0.46153846153846156,41,123,10,57,0.634874408445577,0.4396880733262558,0.19499988381650835,0.5768516310425797,231,0.29004329004329005,test_uid,text_calibrated,prob_text_cal,min_fpr_recall_0.80,0.8,threshold_split,True
main,0.1974423154238923,0.3463203463203463,0.2980769230769231,0.9253731343283582,0.10975609755428316,0.8902439023847412,0.07462686566050346,0.4509090909090909,18,146,5,62,0.634874408445577,0.4396880733262558,0.19499988381650835,0.5768516310425797,231,0.29004329004329005,test_uid,text_calibrated,prob_text_cal,min_fpr_recall_0.85,0.85,threshold_split,True
